T_K|log10_alpha
100.0|-92.36924552948176
102.32929922807536|-90.30247611832945
104.71285480508985|-88.28244280603526
107.15193052376048|-86.30807465437532
109.64781961431828|-84.37832533966841
112.20184543019607|-82.49217258982205
114.81536214968794|-80.64861763120099
117.48975549395254|-78.84668464512546
120.22644346174081|-77.08542023383436
123.02687708123761|-75.36389289577473
125.8925411794161|-73.6811925101029
128.8249551693127|-72.03642983030305
131.82567385563993|-70.42873598684866
134.8962882591645|-68.85726199884864
138.03842646028752|-67.3211782946339
141.2537544622744|-65.8196742412544
144.54397707459162|-64.35195768286657
147.9108388168195|-62.91725448800248
151.35612484361948|-61.514808105721016
154.8816618912467|-60.14387913065084
158.4893192461098|-58.8037448769437
162.18100973589134|-57.49369896116651
165.95869074375426|-56.21305089416992
169.8243652461725|-54.96112568198267
173.7800828749355|-53.73726343579229
177.8279410038901|-52.540818991085615
181.97008586099602|-51.371161536037
186.20871366628427|-50.22767424924684
190.5460717963221|-49.109753946948864
194.98445997580177|-48.0168107398217
199.52623149688503|-46.94826769955596
204.17379446694983|-45.903560535345036
208.92961308540066|-44.882137280482354
213.79620895021975|-43.883457989261416
218.7761623949516|-42.90699444438483
223.8721138568301|-41.95222987509556
229.08676527677326|-41.018658686244656
234.42288153198797|-40.105786198505626
239.88329190194457|-39.213128399933154
245.47089156849833|-38.34021170904374
251.18864315095308|-37.48657274956538
257.03957827688123|-36.65175813696255
263.02679918953277|-35.83532427679023
269.1534803926859|-35.036837174866044
275.4228703338107|-34.25587225917254
281.83829312643917|-33.49201421331276
288.4031503126541|-32.744856821241086
295.12092266663177|-32.01400282288131
301.9951720401945|-31.299063780124094
309.02954325135164|-30.59965995257155
316.2277660168302|-29.91542018226918
323.5936569296202|-29.24598178653891
331.13112148258267|-28.590990457906354
338.84415613919373|-27.95010017000436
346.73685045252245|-27.322973088239078
354.8133892335659|-26.709279483928448
363.07805477009134|-26.108697650570857
371.53522909716213|-25.520913820877674
380.1893963205504|-24.94562208321082
389.0451449942693|-24.382524296106936
398.1071705534855|-23.831329999644705
407.38027780410056|-23.291756322519912
416.8693834703227|-22.763527883832545
426.57951880157947|-22.246376688757024
436.51583224015224|-21.740042017456666
446.68359215094887|-21.244270306808893
457.0881896148602|-20.758815024723095
467.7351412871828|-20.283436537049052
478.6300923226224|-19.817901967284207
489.7788193684296|-19.361985049484037
501.18723362725507|-18.91546597495546
512.861383991347|-18.47813123346247
524.8074602497541|-18.049773449791715
537.0317963702335|-17.630191216610847
549.5408738576045|-17.219188924602857
562.3413251903283|-16.816576590875847
575.4399373371355|-16.422169686631634
588.8436553555667|-16.035788965031763
602.5595860743347|-15.657260290130017
616.5950018614583|-15.286414467651635
630.9573444801684|-14.9230870782969
645.6542290346298|-14.567118314135662
660.6934480075694|-14.218352818545938
676.0829753919543|-13.876639530038211
691.830970918908|-13.541831530202304
707.9457843841084|-13.213785895919026
724.4359600749594|-12.892363555896779
741.3102413008859|-12.577429151525624
758.577575029151|-12.268850901988902
776.2471166286579|-11.966500473534953
794.3282347242464|-11.670252852788387
812.8305161640629|-11.379986223970013
831.7637711026334|-11.095581849895323
851.1380382023376|-10.816923956631072
870.9635899560404|-10.5438996217059
891.2509381337039|-10.276398665791705
912.0108393558668|-10.014313547795458
933.2543007969466|-9.757539263324578
954.99258602139|-9.505973246510788
977.2372209557632|-9.259515275196772
999.9999999999509|-9.018067379505318
1023.2929922807034|-8.78153375382177
1047.128548050847|-8.54982067222699
1071.5193052375523|-8.32283640741952
1096.478196143129|-8.100491153162709
1122.0184543019056|-7.882696950285275
1148.153621496823|-7.669367616253114
1174.897554939468|-7.460418678316361
1202.2644346173493|-7.255767310219857
1230.2687708123158|-7.055332272447779
1258.9254117940993|-6.859033855955085
1288.2495516930637|-6.666793829320247
1318.2567385563345|-6.4785353892360416
1348.9628825915788|-6.294183114238511
1380.3842646028077|-6.113662921559003
1412.5375446226747|-5.936902026970645
1445.4397707458452|-5.763828907489126
1479.1083881681225|-5.59437326677814
1513.5612484361204|-5.428466003102569
1548.8166189123908|-5.26603917966718
1584.8931924610201|-5.107025997175485
1621.8100973588337|-4.951360768442063
1659.5869074374612|-4.798978894892102
1698.243652461642|-4.649816844783917
1737.8008287492696|-4.503812132993634
1778.2794100388137|-4.360903302205687
1819.700858609871|-4.221029905358446
1862.0871366627514|-4.084132489200504
1905.4607179631275|-3.9501525788202336
1949.844599757922|-3.819032663018607
1995.2623149687522|-3.69071618040309
2041.737944669398|-3.565147506088435
2089.2961308539043|-3.442271938898392
2137.9620895020926|-3.3220356889705283
2187.7616239494087|-3.204385865674599
2238.7211385681912|-3.0892704657631214
2290.8676527676203|-2.976638361680859
2344.2288153197646|-2.866439289968021
2398.832919019328|-2.7586238396998404
2454.708915684863|-2.6531434409130856
2511.8864315094074|-2.549950352977662
2570.395782768686|-2.448997652879175
2630.2679918951985|-2.350239223385632
2691.534803926727|-2.253629741078889
2754.2287033379716|-2.15912466423851
2818.3829312642533|-2.066680220572696
2884.0315031263995|-1.9762533947976788
2951.209226666173|-1.8878019160733892
3019.951720401797|-1.8012842453094162
3090.2954325133646|-1.7166595623610164
3162.2776601681467|-1.6338877531402876
3235.9365692960428|-1.5529293966725408
3311.3112148256637|-1.4737457521321335
3388.441561391771|-1.3962987458958587
3467.3685045250545|-1.3205509586549375
3548.1338923354847|-1.2464656126290716
3630.7805477007355|-1.174006558927596
3715.3522909714393|-1.1031382651035582
3801.893963205317|-1.0338258029466125
3890.451449942502|-0.9660348365598033
3981.07170553466|-0.8997316107637587
4073.8027780408056|-0.8348829398694573
4168.693834703023|-0.7714561968577254
4265.795188015585|-0.7094193029998106
4365.158322401308|-0.6487407179491633
4466.83592150927|-0.589389430329625
4570.881896148378|-0.5313349488400103
4677.351412871599|-0.47454729388947925
4786.300923225989|-0.41899698977227295
4897.788193684056|-0.3646550573844767
5011.872336272305|-0.3114930074795552
5128.613839913218|-0.2594828344535891
5248.074602497283|-0.20859701064552816
5370.317963702071|-0.15880848113249257
5495.408738575777|-0.11009065899519221
5623.413251903008|-0.06241742102415415
5754.399373371072|-0.015763103833437597
5888.436553555378|0.029897499654735427
6025.595860743051|0.0745891433938386
6165.9500186142795|0.11833613110678876
6309.573444801375|0.1611623189325151
6456.542290345981|0.2030911178690289
6606.93448007537|0.24414549605692315
6760.829753919211|0.2843479809467464
6918.30970918874|0.32372066139279987
7079.457843840736|0.3622851897143953
7244.35960074924|0.4000627837636692
7413.102413008494|0.4370742290367424
7585.775750291138|0.47333988086231393
7762.471166286197|0.5088796666988511
7943.282347242074|0.5437130885683601
8128.305161640231|0.5778592256514106
8317.637711025925|0.611336737064704
8511.380382022959|0.6441638648390153
8709.635899559977|0.6763584371119347
8912.509381336602|0.7079378715464717
9120.10839355822|0.7389191789833447
9332.543007969009|0.7693189673316727
9549.92586021343|0.7991534456998561
9772.372209557152|0.8284384287656952
9999.999999999018|0.8571893413822842
10232.929922806532|0.8854212234139407
10471.285480507957|0.9131487347943672
10715.193052374996|0.9403861607974537
10964.781961430752|0.9671474175095707
11220.184543018506|0.9934460574908677
11481.536214967666|1.019295275612027
11748.975549394101|1.044707915052042
12022.644346172901|1.0696964734419296
12302.687708122554|1.0942731091388769
12589.254117940374|1.118449647614975
12882.495516930005|1.142237587944658
13182.5673855627|1.1656481093749829
13489.628825915126|1.1886920779630632
13803.842646027399|1.211380053265291
14125.375446226053|1.233722295063373
14454.397707457743|1.2557287701127144
14791.083881680499|1.2774091588992604
15135.612484360463|1.2987728623914876
15488.166189123149|1.319829008775013
15848.931924609424|1.3405864601578994
16218.100973587541|1.3610538192355417
16595.869074373797|1.3812394359047673
16982.436524615583|1.40115141381753
17378.008287491844|1.4207976168653573
17782.794100387266|1.4401856755864735
18197.008586097814|1.459322993488236
18620.8713666266|1.4782167532782964
19054.60717963034|1.496873922998569
19498.445997578263|1.51530126205677
19952.623149686544|1.5335053271509782
20417.37944669298|1.5514924780832313
20892.961308538015|1.5692688834588342
21379.620895019874|1.5868405262685474
21877.616239493014|1.6042132093514105
22387.211385680814|1.6213925607363695
22908.676527675078|1.638384038861446
23442.288153196496|1.655192937669483
23988.329190192104|1.6718243915800244
24547.089156847425|1.688283380337129
25118.864315092844|1.7045747337333417
25703.957827685597|1.7207031362103162
26302.679918950696|1.7366731313368238
26915.348039265948|1.7524891261651963
27542.287033378365|1.7681553954674278
28183.829312641148|1.7836760858523526
28840.315031262577|1.7990552197655525
29512.09226666028|1.8142966993737044
30199.517204016487|1.8294043103353257
30902.95432513213|1.8443817254598898
31622.776601679914|1.8592325082574543
32359.36569295884|1.873960116380994
33113.112148255015|1.8885679049637094
33884.41561391605|1.9030591298536184
34673.68504524884|1.91743695074784
35481.338923353105|1.9317044342289105
36307.805477005575|1.9458645567056063
37153.52290971257|1.959920207260664
38018.939632051304|1.973874190407857
38904.514499423116|1.9877292287608466
39810.71705534464|2.001487965616233
40738.02778040605|2.015152967453215
41686.93834702818|2.0287267263522146
42657.951880153756|2.042211662334852
43651.58322401094|2.0556101256275703
44668.3592150905|2.068924398851202
45708.818961481535|2.0821566991387357
46773.51412871369|2.095309180183472
47863.00923225754|2.108383934219752
48977.88193683815|2.1213829939383775
50118.723362720586|2.1343083343387708
51286.13839912966|2.147161874519938
52480.746024970256|2.1599454794121993
53703.179637018075|2.172660961451591
54954.08738575506|2.1853100821988587
56234.13251902732|2.19789455390484
57543.993733707895|2.2104160410240343
58884.36553555089|2.2228761616780712
60255.95860742755|2.2352764890707846
61659.500186139776|2.247618552856494
63095.734448010655|2.2599038404630907
64565.422903456645|2.2721337983714687
66069.34480075046|2.2843098333527756
67608.29753918879|2.296433313664929
69183.097091884|2.308505570209798
70794.57843840389|2.320527897652397
72443.59600748884|2.3325015555033897
74131.0241300813|2.344427769166188
75857.75750290765|2.356307730949853
77624.71166285816|2.3681426010489766
79432.82347241684|2.379933508491698
81283.05161639831|2.391681552056948
83176.37711025518|2.403387801161996
85113.80382022541|2.4150532967213145
87096.3589955955|2.426679051977766
89125.09381336164|2.4382660533070766
91201.08393557773|2.449815260996491
93325.4300796855|2.461327609998545
95499.25860212963|2.472804010660779
97723.72209556673|2.484245349432255
99999.99999998527|2.495652489547645
102329.29922806029|2.5070262716896963
104712.85480507443|2.5183675146307944
107151.93052374471|2.529677015854361
109647.81961430213|2.540955552156758
112201.84543017954|2.5522038802303992
114815.36214967103|2.563422737228672
117489.75549393526|2.5746128413133267
120226.44346172312|2.5857748921849026
123026.8770812195|2.5969095715968056
125892.54117939757|2.6080175438535402
128824.95516929374|2.619099456293677
131825.67385562052|2.630155939758067
134896.28825914464|2.6411876090437705
138038.42646026722|2.652195063344214
141253.7544622536|2.66317888667602
144543.97707457034|2.674139648292952
147910.83881679774|2.685077903087441
151356.12484359718|2.695994191980054
154881.6618912239|2.706889042297325
158489.31924608647|2.7177629681383717
162181.00973586744|2.7286164707306018
165958.69074372982|2.7394500387749314
169824.3652461475|2.7502641487807917
173780.08287490992|2.7610592653913475
177827.9410038639|2.7718358416991524
181970.08586096924|2.782594319552606
186208.71366625687|2.793335129853526
190546.07179629404|2.804058692846061
194984.45997577303|2.8147654183972737
199526.23149685565|2.825455706269663
204173.79446691976|2.83612994638583
208929.6130853699|2.8467885190856084
213796.20895018827|2.857431795375847
218776.1623949194|2.8680601371731047
223872.11385679716|2.878673897539459
229086.76527673952|2.88927342091168
234422.88153195343|2.8998590433239304
239883.29190190925|2.910431092624231
245470.8915684622|2.9209898886848844
251188.6431509161|2.931535743607002
257039.57827684336|2.942068961919384
263026.79918949405|2.952589840771873
269153.4803926463|2.96309867012336
275422.8703337701|2.97359573292462
281838.29312639765|2.984081305296149
288403.1503126116|2.994555656701108
295120.92266658833|3.005019050113548
301995.17204015004|3.015471742182081
309029.5432513061|3.0259139833890973
316227.7660167836|3.036346018205668
323593.6569295725|3.04676808524229
331131.12148253387|3.0571804173955517
338844.15613914386|3.067583241990901
346736.8504524714|3.0779767809215475
354813.3892335136|3.088361250783711
363078.0547700379|3.098736863008229
371535.2290971074|3.1091038239887023
380189.3963204944|3.119462335206231
389045.144994212|3.1298125933508825
398107.1705534269|3.1401547904399276
407380.2778040405|3.150489113933011
416869.38347026135|3.160815746844273
426579.5188015167|3.1711348678515723
436515.83224008797|3.1814466514028314
446683.5921508831|3.1917512678196456
457088.18961479294|3.202048883398186
467735.14128711395|3.2123396605075083
478630.0923225519|3.222623757685307
489778.8193683575|3.232901329731222
501187.23362718127|3.243172527797734
512861.3839912715|3.2534374994787303
524807.4602496767|3.2636963888958146
537031.7963701544|3.27394933678241
549540.8738575237|3.2841964805657238
562341.3251902455|3.2944379544466162
575439.9373370507|3.304673889477451
588843.65535548|3.314904413637988
602559.586074246|3.325129651909341
616595.0018613675|3.3353497263460756
630957.3444800755|3.345564756146503
645654.2290345348|3.3557748577211957
660693.4480074721|3.3659801447597975
676082.9753918546|3.3761807282961502
691830.970918806|3.3863767167718084
707945.7843840041|3.396568216097956
724435.9600748528|3.406755329715798
741310.2413007767|3.416938158655439
758577.5750290393|3.4271168015933053
776247.1166285435|3.437291354908149
794328.2347241294|3.4474619127356743
812830.5161639432|3.457628567021798
831763.771102511|3.4677914075746177
851138.0382022123|3.4779505221150853
870963.5899559122|3.4881059963264445
891250.9381335727|3.498257913902469
912010.8393557324|3.5084063565944863
933254.3007968091|3.518551404257286
954992.5860212494|3.5286931348938975
977237.2209556194|3.5388316246992613
